Key,Participant_ID,Category,Difficulty,ResponseTime,routineStart,routineEnd,Result,Start_ms,End_ms
1Item9,33,1,2,9.914739800005918,1675945690.7474062,1675945700.662146,0.0,1675945690747.4062,1675945700662.146
1Item10,33,1,0,20.0,1675945700.662146,1675945720.662146,,1675945700662.146,1675945720662.146
2spl1,33,2,0,4.906120200001169,1675945788.555347,1675945793.4614673,1.0,1675945788555.347,1675945793461.4673
2spl2,33,2,0,22.785711199976504,1675945795.2067084,1675945817.9924195,1.0,1675945795206.7085,1675945817992.4194
2Item1,33,2,0,5.59716330000083,1675945819.5365925,1675945825.1337557,1.0,1675945819536.5923,1675945825133.7556
2Item2,33,2,0,12.460655000002587,1675945826.184944,1675945838.645599,1.0,1675945826184.9438,1675945838645.5989
2Item3,33,2,0,25.083128800004488,1675945839.6674962,1675945864.750625,1.0,1675945839667.496,1675945864750.625
2Item4,33,2,1,45.7797273999895,1675945865.78966,1675945911.5693874,1.0,1675945865789.66,1675945911569.3877
2Item5,33,2,1,40.18555940000806,1675945912.2875535,1675945952.473113,1.0,1675945912287.5537,1675945952473.113
2Item6,33,2,1,12.67781880000257,1675945953.369567,1675945966.0473857,0.0,1675945953369.567,1675945966047.3855
2Item7,33,2,2,34.846048100007465,1675945984.59202,1675946019.4380682,1.0,1675945984592.02,1675946019438.068
2Item8,33,2,2,29.339423199999143,1675946020.1999393,1675946049.5393624,0.0,1675946020199.9392,1675946049539.3623
2Item9,33,2,2,12.497997800004669,1675946072.601653,1675946085.0996509,1.0,1675946072601.653,1675946085099.651
2Item10,33,2,2,54.51891980000073,1675946085.9455986,1675946140.4645183,0.0,1675946085945.5986,1675946140464.5183
3spl1,33,3,0,6.081576700002188,1675946191.226425,1675946197.3080015,1.0,1675946191226.425,1675946197308.0017
3Item15,33,3,2,15.712770299986005,1675946203.294629,1675946219.007399,,1675946203294.6292,1675946219007.3992
3Item2,33,3,0,5.512495700008003,1675946219.034617,1675946224.5471127,1.0,1675946219034.617,1675946224547.1128
3Item5,33,3,0,8.146543699986069,1675946224.5736065,1675946232.7201502,1.0,1675946224573.6064,1675946232720.15
3Item12,33,3,1,12.362167799990855,1675946232.751362,1675946245.11353,0.0,1675946232751.362,1675946245113.53
3Item6,33,3,0,7.492692900006659,1675946245.1443796,1675946252.6370726,1.0,1675946245144.3796,1675946252637.0725
3Item8,33,3,1,13.036697400006233,1675946252.6699214,1675946265.7066188,1.0,1675946252669.9214,1675946265706.619
3Item7,33,3,1,14.705168100015726,1675946265.7357564,1675946280.4409244,1.0,1675946265735.7563,1675946280440.9243
3Item9,33,3,1,25.664657399989665,1675946280.47341,1675946306.1380672,1.0,1675946280473.41,1675946306138.0671
3Item17,33,3,2,8.231893599993782,1675946306.1743135,1675946314.406207,0.0,1675946306174.3137,1675946314406.207
3Item19,33,3,0,10.0,1675946314.406207,1675946324.406207,,1675946314406.207,1675946324406.207
1spl1,34,1,0,19.33838339999784,1677066953.394785,1677066972.7331684,1.0,1677066953394.785,1677066972733.1685
1spl2,34,1,0,29.443680899916217,1677066972.853205,1677067002.296886,1.0,1677066972853.205,1677067002296.886
1Item1,34,1,0,7.007279300014488,1677067002.3275082,1677067009.3347876,1.0,1677067002327.5083,1677067009334.7876
1Item2,34,1,0,17.238152899895795,1677067009.3570085,1677067026.5951614,1.0,1677067009357.0083,1677067026595.1614
1Item3,34,1,0,0.0390503000235185,1677067026.6276438,1677067026.6666942,1.0,1677067026627.6438,1677067026666.694
1Item4,34,1,1,31.372320299968123,1677067026.6786337,1677067058.050954,1.0,1677067026678.6338,1677067058050.954
1Item5,34,1,1,57.10157509997953,1677067058.0776963,1677067115.1792717,1.0,1677067058077.6963,1677067115179.2715
1Item6,34,1,1,27.77210850000847,1677067115.2009058,1677067142.9730144,1.0,1677067115200.9058,1677067142973.0144
1Item7,34,1,2,16.890826499904506,1677067142.9991372,1677067159.8899636,1.0,1677067142999.1372,1677067159889.9636
1Item8,34,1,2,95.91196199995466,1677067159.9148986,1677067255.826861,1.0,1677067159914.8987,1677067255826.8608
1Item9,34,1,2,23.697866500006057,1677067255.8484282,1677067279.5462947,0.0,1677067255848.4282,1677067279546.295
1Item10,34,1,2,21.73576630000025,1677067279.5688305,1677067301.304597,1.0,1677067279568.8306,1677067301304.597
2spl1,34,2,0,10.063212000066414,1677067402.0253053,1677067412.0885172,1.0,1677067402025.3052,1677067412088.517
2spl2,34,2,0,17.257304800092243,1677067414.5079348,1677067431.7652397,0.0,1677067414507.9348,1677067431765.2395
2Item1,34,2,0,8.20820019999519,1677067433.6064696,1677067441.8146698,1.0,1677067433606.4695,1677067441814.67
2Item2,34,2,0,8.901654500048608,1677067450.3836854,1677067459.2853398,1.0,1677067450383.6853,1677067459285.3398
2Item3,34,2,0,9.432751600048505,1677067460.4287858,1677067469.8615377,1.0,1677067460428.786,1677067469861.5376
2Item4,34,2,1,49.73090169997886,1677067471.107375,1677067520.8382766,1.0,1677067471107.375,1677067520838.2766
2Item5,34,2,1,26.377760999952443,1677067522.2207887,1677067548.5985496,1.0,1677067522220.7888,1677067548598.5496
2Item6,34,2,1,12.485067299916407,1677067549.5616035,1677067562.046671,1.0,1677067549561.6035,1677067562046.671
2Item7,34,2,2,25.6479682000354,1677067564.0785036,1677067589.726472,1.0,1677067564078.5037,1677067589726.472
2Item8,34,2,2,24.534112700028345,1677067590.6387713,1677067615.172884,0.0,1677067590638.7712,1677067615172.884
2Item9,34,2,2,23.15369239996653,1677067618.3448226,1677067641.4985151,1.0,1677067618344.8228,1677067641498.5151
2Item10,34,2,2,17.20780279999599,1677067642.4528975,1677067659.6607003,1.0,1677067642452.8977,1677067659660.7004
3spl1,34,3,0,8.228338599903509,1677067734.9140122,1677067743.142351,1.0,1677067734914.0122,1677067743142.3508
3Item15,34,3,2,11.876804400002584,1677067747.0023503,1677067758.8791547,1.0,1677067747002.3503,1677067758879.1548
3Item2,34,3,0,7.890086200088263,1677067758.901229,1677067766.791315,1.0,1677067758901.229,1677067766791.3152
3Item5,34,3,0,11.329936900059693,1677067766.813661,1677067778.143598,1.0,1677067766813.6611,1677067778143.598
3Item12,34,3,1,8.87920809991192,1677067778.1693146,1677067787.0485227,,1677067778169.3147,1677067787048.5227
3Item6,34,3,0,9.04520360007882,1677067787.0731044,1677067796.118308,1.0,1677067787073.1045,1677067796118.308
3Item8,34,3,1,13.19982009998057,1677067796.1430297,1677067809.3428495,0.0,1677067796143.0298,1677067809342.8496
3Item7,34,3,1,11.287342900061049,1677067809.3661976,1677067820.6535404,1.0,1677067809366.1975,1677067820653.5403
3Item9,34,3,1,9.915261399932206,1677067820.6843626,1677067830.5996242,1.0,1677067820684.3623,1677067830599.6245
3Item17,34,3,2,8.066289300099015,1677067830.6190872,1677067838.6853764,1.0,1677067830619.0872,1677067838685.3765
3Item19,34,3,2,7.006653900025412,1677067838.712668,1677067845.7193215,0.0,1677067838712.668,1677067845719.3215
3Item11,34,3,1,3.6692601999966414,1677067845.737849,1677067849.4071093,,1677067845737.8489,1677067849407.1094
3Item4,34,3,0,1.9583951000822708,1677067849.4318457,1677067851.390241,1.0,1677067849431.8457,1677067851390.241
3Item13,34,3,2,1.4869608000153676,1677067851.4112716,1677067852.8982325,,1677067851411.2715,1677067852898.2324
3Item10,34,3,1,1.980472299968824,1677067852.9196956,1677067854.900168,1.0,1677067852919.6956,1677067854900.168
3Item14,34,3,2,2.0206689999904484,1677067854.9238284,1677067856.944497,1.0,1677067854923.8284,1677067856944.497
3Item3,34,3,0,5.166264500003308,1677067856.968137,1677067862.1344016,1.0,1677067856968.137,1677067862134.4016
3Item20,34,3,2,1.7181134999264032,1677067862.1527836,1677067863.870897,1.0,1677067862152.7837,1677067863870.897
3Item18,34,3,2,2.2976918999338523,1677067863.886114,1677067866.1838057,1.0,1677067863886.1138,1677067866183.8057
